ZipCode,NeighborhoodScore,Rank
60655,0.45087509184640945,1.0
60646,0.4311371525849971,2.0
60646,0.39887190325189015,3.0
60610,0.3823014496903706,4.0
60614,0.3561252928434076,5.0
60613,0.35382276065816254,6.0
60638,0.35223513072485646,7.0
60607,0.3331838773461368,8.0
60659,0.33294214933033706,9.0
60634,0.3151401984227913,10.0
60633,0.3119931064888184,11.0
60660,0.30563908785659333,12.0
60630,0.30423708329818655,13.0
60625,0.3015125552084741,14.0
60645,0.292180086363955,15.0
60631,0.2688682217842067,16.0
60657,0.2652062594678184,17.0
60652,0.26002479926548727,18.0
60618,0.25795449454508107,19.0
60647,0.23996377700064214,20.0
60622,0.23465312050189716,21.0
60641,0.18786408889572573,22.0
60615,0.1509050376280072,23.0
60626,0.14824763581090525,24.0
60632,0.09994942154727576,25.0
60639,0.09510815259473418,26.0
60602,0.08308256675043116,27.0
60643,0.0793588603467931,28.0
60653,0.07251720323250027,29.0
60608,0.04821774773685611,30.0
60640,0.0292988797825591,31.0
60616,-0.007987823189731402,32.0
60609,-0.08304813936024563,33.0
60629,-0.13199241929578318,34.0
60651,-0.20420399617979884,35.0
60621,-0.2294211098110293,36.0
60617,-0.23567481718505273,37.0
60623,-0.23889231611845474,38.0
60637,-0.2519219951319724,39.0
60624,-0.2775472692980224,40.0
60651,-0.2802167751306376,41.0
60649,-0.317492973989518,42.0
60628,-0.337514431226984,43.0
60620,-0.3608106779825715,44.0
60636,-0.3611519098831031,45.0
60619,-0.36807881339066173,46.0
60644,-0.3893463798710291,47.0
