"ZIP","TYPE","POPULATION"
"60601",STANDARD,14804
"60602",STANDARD,1142
"60603",STANDARD,1275
"60604",STANDARD,687
"60605",STANDARD,32077
"60606",STANDARD,3298
"60607",STANDARD,29990
"60608",STANDARD,83689
"60609",STANDARD,61861
"60610",STANDARD,42422
"60611",STANDARD,34562
"60612",STANDARD,33908
"60613",STANDARD,53282
"60614",STANDARD,72119
"60615",STANDARD,41767
"60616",STANDARD,53085
"60617",STANDARD,84193
"60618",STANDARD,95078
"60619",STANDARD,63481
"60620",STANDARD,69357
"60621",STANDARD,26538
"60622",STANDARD,54650
"60623",STANDARD,77352
"60624",STANDARD,36986
"60625",STANDARD,80028
"60626",STANDARD,50295
"60628",STANDARD,64489
"60629",STANDARD,107487
"60630",STANDARD,55591
"60631",STANDARD,30589
"60632",STANDARD,87395
"60633",STANDARD,12674
"60634",STANDARD,77520
"60636",STANDARD,30412
"60637",STANDARD,49514
"60638",STANDARD,58959
"60639",STANDARD,89037
"60640",STANDARD,67936
"60641",STANDARD,71003
"60642",STANDARD,21374
"60643",STANDARD,49796
"60644",STANDARD,47630
"60645",STANDARD,48585
"60646",STANDARD,29326
"60647",STANDARD,85564
"60649",STANDARD,48973
"60651",STANDARD,64638
"60652",STANDARD,43485
"60653",STANDARD,34519
"60654",STANDARD,21859
"60655",STANDARD,28751
"60656",STANDARD,28665
"60657",STANDARD,72113
"60659",STANDARD,43729
"60660",STANDARD,44972
"60661",STANDARD,11073
"60664",PO BOX,
"60666",PO BOX,
"60668",UNIQUE,
"60669",UNIQUE,
"60670",UNIQUE,
"60673",UNIQUE,
"60674",UNIQUE,
"60675",UNIQUE,
"60677",UNIQUE,
"60678",UNIQUE,
"60680",PO BOX,
"60681",PO BOX,
"60682",UNIQUE,
"60684",UNIQUE,
"60685",UNIQUE,
"60686",UNIQUE,
"60687",UNIQUE,
"60688",UNIQUE,
"60689",UNIQUE,
"60690",PO BOX,
"60691",PO BOX,
"60693",UNIQUE,
"60694",UNIQUE,
"60695",UNIQUE,
"60696",UNIQUE,
"60697",UNIQUE,
"60699",STANDARD,
"60701",STANDARD,
"60706",STANDARD,24272
"60707",STANDARD,41309
"60803",STANDARD,22329
"60804",STANDARD,84905
"60805",STANDARD,19884
"60827",STANDARD,26010
